domaine,subDomine,label,altLabels
Science,Earth sciences,Geodesy,Earth measurement
Education,Educational sciences and environment,Teacher administration relationship,
Education,Educational sciences and environment,Truancy,
Culture,Museums,School museums,
Information and communication,Information sources,Rare books,"Antiquarian books, Incunabula"
Culture,Languages,Somali,
Social and human sciences,Human settlements and land use,Urban design,
"Politics, law and economics",Equipment and facilities,Agricultural machinery,
"Politics, law and economics",Economics,Productivity,
"Politics, law and economics",Economic and social development,Endogenous development,
Culture,Religion,Jews,
Science,Biology,Brain,
Information and communication,Documentary information systems,International libraries,
"Politics, law and economics",Economic and social development,Institution building,
Science,Scientific approach,Case studies,
Culture,Culture,Cultural philosophy,Concept of culture
Social and human sciences,Human settlements and land use,Houses,"Apartment, Flat"
Countries and country groupings,Africa,Kenya,
Education,Educational population,Educational personnel,
Culture,Languages,Hindi,
Culture,Literature,Popular literature,Bestsellers
Culture,Cultural policy and planning,Museum personnel,
Culture,Literature,Speeches,
Social and human sciences,Social policy and welfare,Social security,"Child allowances, Disability benefits, Family allowances, Health insurance, Social insurance, Unemployment benefits"
Science,Biology,Metabolism,
Countries and country groupings,Asia and the Pacific,Turkmenistan,
"Politics, law and economics",Finance and trade,Taxation,Tax exemption
Education,Educational institutions,Secondary schools,High schools
Culture,History,Radiocarbon dating,
"Politics, law and economics","Civil, military and mining engineering",Geophysical prospecting,"Gravimetric prospecting, Seismic prospecting"
Social and human sciences,Social policy and welfare,Patients,
Countries and country groupings,Asia and the Pacific,Niue,
Education,Basic and general study subjects,Human rights education,
Culture,Languages,Maori,
Information and communication,Information sources,Serials,Series
Science,Medical sciences,Health economics,"Health expenditure, Medical costs"
Social and human sciences,Social sciences,World problems,
Education,Educational evaluation,Examination marks,
Countries and country groupings,Asia and the Pacific,Nepal,
Countries and country groupings,Europe,Serbia and Montenegro,
Education,Educational planning,Education and employment,Education labour market relationship
"Politics, law and economics",Finance and trade,Microcredit,Microfinance
"Politics, law and economics","Civil, military and mining engineering",Harbour and coastal engineering,
Countries and country groupings,Economic groupings,Least developed countries,LDC
Social and human sciences,Psychology,Visualization,
Information and communication,Information technology (software),Data formats,Data layout
"Politics, law and economics",Materials and products,Dairy products,
Education,Basic and general study subjects,Nutrition education,
Science,Meteorology,Meteorological data,
Social and human sciences,Social problems,Drug abuse,"Drug addiction, Drug dependency"
Education,Educational sciences and environment,Child psychology,
Science,Scientific approach,Monitoring,
Social and human sciences,Social policy and welfare,Social responsibility,
Education,Technical and vocational study subjects,Architecture education,
Culture,Literature,Epic poetry,
Education,Educational sciences and environment,Attention,
Culture,Linguistics,Etymology,
Countries and country groupings,Geographic groupings,Indochina,
Science,Scientific approach,Science philosophy,
Education,Educational sciences and environment,Educational models,
Education,Basic and general study subjects,Religious education,
Education,Educational facilities,Educational buildings,Educational architecture
Countries and country groupings,Americas and the Caribbean,North America,
"Politics, law and economics",Agriculture,Food security,
Science,Medical sciences,Neurology,
Culture,Visual arts,Jewelry,
"Politics, law and economics",Organization and management,Industrial management,"Production control, Production management"
Science,Mathematics and statistics,Statistics,"Statistical methodology, Statistical methods"
Information and communication,Information technology (software),Data analysis,
Countries and country groupings,Europe,Montenegro,
Science,Scientific approach,Design,
"Politics, law and economics",Economics,Mixed economy,
Science,Pathology,Disabilities,"Handicaps, Physical handicaps"
"Politics, law and economics",Finance and trade,Public debt,
Science,Natural resources,Food shortages,
"Politics, law and economics",Finance and trade,International trade,"Foreign trade, World trade"
Science,Natural resources,Animal ecology,"Animal adaptation, Animal life"
Social and human sciences,Ethnic questions,Whites,
Culture,Languages,Altaic languages,Turkic languages
Education,Educational sciences and environment,Student movements,
Culture,History,Medieval history,
Social and human sciences,Social systems,Social status,Socio-economic status
Countries and country groupings,Africa,Sierra Leone,
Science,Medical sciences,Acupuncture,
"Politics, law and economics",Industry,Gas industry,
Science,Natural resources,Nonrenewable resources,
"Politics, law and economics",Materials and products,Alcoholic beverages,"Beer, Spirits, Wine"
Culture,Religion,Religious practice,"Religious ceremonies, Worship"
Science,Space sciences,Space,Outer space
Culture,Languages,Lithuanian,
"Politics, law and economics",Materials and products,Forest products,
"Politics, law and economics",Finance and trade,Commodity agreements,
Science,Scientific approach,Science,Scientific knowledge
Countries and country groupings,Americas and the Caribbean,South America,
"Politics, law and economics",Legal systems,Crime prevention,
Science,Biology,Neurobiology,
Education,Educational administration,Teacher wages,Teacher salaries
"Politics, law and economics",Industry,Industrial economics,
Social and human sciences,Social sciences,Psychologists,
Science,Geography and oceanography,Coastal zones,Coasts
"Politics, law and economics",Agriculture,Agronomy,
Science,Pathology,Cancer,Carcinogens
Culture,Languages,Catalan,
Science,Biology,Biological effects,
Science,Biology,Cardiovascular systems,"Circulatory systems, Heart"
Countries and country groupings,Europe,Portugal,
Science,Geography and oceanography,Ocean floor,Sea bed
Education,Educational evaluation,Curriculum evaluation,
Education,Educational policy,Educational strategies,
Culture,Museums,Museum attendance,
Social and human sciences,Social systems,Caste,
Science,Natural resources,Hydroelectric power,"Hydropower, Water power"
Information and communication,Communication research and policy,News flow,"News, News items, News transmission"
Information and communication,Information technology (software),Colour television,
"Politics, law and economics",Economic and social development,Development banks,
Science,Physical sciences,Plasma physics,
Information and communication,Information sources,Photographic slides,Slides
Science,Scientific approach,Radiography,
Countries and country groupings,Europe,Caucasian States,
Education,Educational sciences and environment,School community relationship,
Science,Mathematics and statistics,Geometry,
Science,Space sciences,Earth (planet),
Science,Hydrology,Surface water,
"Politics, law and economics",Finance and trade,Credit,
Countries and country groupings,Europe,Tajik SSR,
"Politics, law and economics",Agriculture,Food preservation,
Culture,Culture,Cultural nationalism,
"Politics, law and economics",Economics,Economic relations,
Education,Educational population,Adult students,Adult learners
Science,Natural sciences,Animal taxonomy,Zoological taxonomy
Science,"Pollution, disasters and safety",Drought,
Information and communication,Documentary information systems,Mobile libraries,"Bibliobus, Bookmobiles, Travelling libraries"
Information and communication,Information technology (software),Data transmission,
Science,Physical sciences,Crystallography,
Education,Teaching and training,Professional training,Training of professionals
Culture,Culture,Everyday life,Daily life
Social and human sciences,Human settlements and land use,Community centres,"CLC, Community learning centres"
"Politics, law and economics",Politics and government,Political communication,
Science,Chemical sciences,Chemical properties,"Acidity, Alcalinity, ph"
Education,Educational evaluation,Educational quality,Educational improvement
Science,Medical sciences,Preventive medicine,"Disease prevention, Genetic screening, Screening for disease"
"Politics, law and economics","Civil, military and mining engineering",Dams,
Culture,Performing arts,Theatre management,Stage management
"Politics, law and economics",Organization and management,Administration,
Information and communication,Communication research and policy,Oral expression,
Education,Educational sciences and environment,Reading readiness,
"Politics, law and economics",Manufacturing and transport engineering,Lighting,Lighting engineering
"Politics, law and economics",Personnel management,Working life,Occupational life
Culture,Religion,Temples,Shrines
Education,Educational planning,Adult education programmes,
"Politics, law and economics",Legal systems,Royalties,
"Politics, law and economics",Economics,Public sector,
"Politics, law and economics",Politics and government,Republic,Presidential systems
Countries and country groupings,Asia and the Pacific,Cambodia,Democratic Kampuchea
Science,Natural sciences,Insects,
Science,Natural sciences,Wild animals,Game animals
Science,Natural resources,Biogas,
Science,Geography and oceanography,Sea level,
Culture,Languages,Arabic,
Countries and country groupings,Americas and the Caribbean,Ecuador,
Information and communication,Information management,Library users,Borrowers
Science,Environmental sciences and engineering,Environmental legislation,Environmental law
Culture,Religion,Synagogues,
Culture,Languages,Dzongkha,Bhutanese
Education,Basic and general study subjects,Reading instruction,
Science,Earth sciences,Glaciology,
Education,Educational management,Educational grouping,"Academic grouping, School grouping"
Science,Meteorology,Precipitation,
Science,Medical sciences,Surgery,
"Politics, law and economics",Materials and products,Thorium,
"Politics, law and economics",Politics and government,Marxism,
Information and communication,Information sciences,Film media,
Science,Geography and oceanography,Ocean exploration,Ocean expeditions
"Politics, law and economics",Materials and products,Bamboo,
Social and human sciences,Social problems,Prisoners,
Science,Chemical sciences,Nitrogen,
Education,Educational administration,Regional educational bodies,
Social and human sciences,Human settlements and land use,Farmers,
Information and communication,Documentary information systems,Industrial libraries,
Science,Environmental sciences and engineering,Environmental engineering,Environmental technology
Countries and country groupings,Asia and the Pacific,Israel,
Information and communication,Documentary information systems,Bibliographic services,"Abstracting and indexing services, Bibliographic database producers, Current awareness services, Secondary information producers"
"Politics, law and economics",International relations,Intergovernmental organizations,
Information and communication,Information management,Information systems evaluation,
Education,Educational facilities,Educational periodicals,
Science,"Pollution, disasters and safety",Global warming,Greenhouse effect
Culture,Visual arts,Decorative arts,
Social and human sciences,Psychology,Intelligence,
Culture,Art,Medieval art,
"Politics, law and economics",Equipment and facilities,Trains,
Education,Educational facilities,Reading materials,Reading lists
Countries and country groupings,Africa,Uganda,
"Politics, law and economics",Economics,International division of labour,
Education,Curriculum,Secondary school curriculum,
Science,Natural resources,Thermal energy,
Culture,Performing arts,Traditional dance,Folk dance
Information and communication,Information technology (hardware),Recording equipment,"Tape recorders, Video recorders"
"Politics, law and economics",Politics and government,Pacifism,Antimilitarism
Science,Space sciences,Stars,
Science,Environmental sciences and engineering,Waste disposal,
Science,Medical sciences,Hygiene,
"Politics, law and economics",Materials and products,Fuels,
Countries and country groupings,Americas and the Caribbean,Haiti,
Culture,Culture,Caribbean cultures,
"Politics, law and economics",Materials and products,Petroleum,"Crude oils, Fossile fuels, Gasoline, Mineral oils"
Science,Earth sciences,Minerals,
Science,Biology,Genome,"Human genome, Genetic heritage"
Social and human sciences,Social problems,Disabled children,Handicapped children
"Politics, law and economics",Materials and products,Lead,
"Politics, law and economics",Manufacturing and transport engineering,Genetically modified organisms,"Genetically engineered organisms, Genetically modified crops, Genetically modified food, GMOs"
Information and communication,Information sources,Machine readable materials,
Culture,Linguistics,Alphabets,Letters (alphabet)
"Politics, law and economics",Finance and trade,Cost reduction,Expenditure cuts
Culture,Cultural policy and planning,Cultural personnel,Cultural administrators
Science,Hydrology,Water supply,"Water distribution, Water requirements"
Culture,Culture,Multiculturalism,
"Politics, law and economics",Economic and social development,Basic needs,Human needs
Education,Educational management,Educational guidance,"Educational counselling, Guidance service, School leaving guidance"
Social and human sciences,Population,Child mortality,Infant mortality
"Politics, law and economics",Organization and management,Project evaluation,
Culture,Languages,Indonesian,Bahasa Indonesia
Countries and country groupings,Europe,Georgia,
"Politics, law and economics",Services,Maritime transport,"Sea transport, Shipping industry"
Culture,Literature,Slav literature,
Culture,Leisure,Sports facilities,
Culture,Religion,Religious activities,
Science,Geography and oceanography,Oceanographic data,Marine data
Social and human sciences,Social systems,Social control,Social pressure
"Politics, law and economics",Manufacturing and transport engineering,Air conditioning,Ventilation
Culture,Performing arts,Traditional music,Folk music
Culture,Museums,Museum architecture,
Countries and country groupings,Asia and the Pacific,Kyrgyzstan,
Information and communication,Information sources,Glossaries,
"Politics, law and economics",Organization and management,Project management,Project monitoring
Education,Teaching and training,Learning methods,"Learning techniques, Study methods, Study skills"
Education,Teaching and training,Story telling,
Social and human sciences,Social policy and welfare,Social welfare,"Public welfare, Social protection, Welfare planning, Welfare policy"
Science,Environmental sciences and engineering,Energy conservation,Energy savings
"Politics, law and economics",Economics,Economic equilibrium,Equilibrium theory
Culture,Languages,Danish,
Science,Scientific approach,Simulation models,"Cybernetic models, Models, Simulation techniques"
Science,Medical sciences,Health,
Social and human sciences,Ethnic questions,Multiethnic societies,Multiracial societies
Culture,Visual arts,Calligraphy,
"Politics, law and economics",Finance and trade,Market structure,
Social and human sciences,Population,Age distribution,Age composition
Social and human sciences,Psychology,Imagination,
Culture,Religion,Sociology of religion,
Culture,Languages,Macedonian,
"Politics, law and economics",Materials and products,Manganese,
Information and communication,Communication research and policy,Communication organizations,
Social and human sciences,Human settlements and land use,Slums,Shanty towns
"Politics, law and economics",Personnel management,Leave,"Absenteeism, Holidays from work, Leave of absence, Maternity leave, Sick leave"
"Politics, law and economics",Materials and products,Silk,
Information and communication,Information technology (software),Computer aided design,CAD
Science,Biology,Nutrients,
Science,Science and research management,Scientific expenditure,"Research expenditure, Technological expenditure"
"Politics, law and economics",Personnel management,Job evaluation,"Job classification, Post classification, Post evaluation"
"Politics, law and economics",Equipment and facilities,Scientific facilities,Research facilities
Science,Pathology,Tropical diseases,Tropical medicine
Culture,Performing arts,Religious music,
"Politics, law and economics",Equipment and facilities,Nuclear reactors,Fusion reactors
Science,Science and research management,Science statistics,Technology statistics
Information and communication,Communication research and policy,Data protection,"Computer crime, Computer security, Data privacy, Data security"
"Politics, law and economics",Personnel management,Factory workers,
Culture,Culture,Cultural discrimination,
"Politics, law and economics",Economics,Industrial productivity,
Countries and country groupings,Asia and the Pacific,Saudi Arabia,
Culture,History,Archaeological sociology,
Information and communication,Documentary information systems,Agricultural information systems,
"Politics, law and economics",International relations,International solidarity,"Humanitarianism, World solidarity"
"Politics, law and economics",Personnel management,Leadership,
Culture,Performing arts,Cinema,
Education,Technical and vocational study subjects,Preschool teacher education,"Preprimary teacher education, Preprimary teacher training, Preschool teacher training"
Education,Educational planning,Educational budgets,
Countries and country groupings,Geographic groupings,Horn of Africa,
"Politics, law and economics",Politics and government,Political crises,
"Politics, law and economics",Politics and government,Political institutions,
"Politics, law and economics",Human rights,Civil and political rights,"Civil liberties, Civil rights, Freedom, Political rights, Right to dignity"
Education,Teaching and training,Group instruction,
Culture,Languages,Italian,
Information and communication,Information industry,Information/library personnel,Library personnel
Social and human sciences,Psychology,Identity,"Individuals, Personal identity"
Science,Science and research management,Scientific programmes,Technological programmes
Social and human sciences,Human settlements and land use,Housing finance,
Science,Earth sciences,Iron ores,Pyrite
Information and communication,Information technology (hardware),Broadcasting equipment,
Social and human sciences,Psychology,Attitude change,
Science,Scientific approach,Systems design,"Systems analysis, Systems engineering"
Countries and country groupings,Americas and the Caribbean,Martinique,
"Politics, law and economics",Manufacturing and transport engineering,Fuel technology,"Coal technology, Gas technology, Petroleum technology"
Information and communication,Information industry,Broadcasting,
Science,Scientific approach,Experiments,
Science,Earth sciences,Geological data,
Social and human sciences,Social sciences,Behavioural sciences,
Culture,Philosophy and ethics,Functionalism,
"Politics, law and economics",Materials and products,Sodium,
"Politics, law and economics",Labour,Collective bargaining,
Information and communication,Information industry,Radio listeners,
"Politics, law and economics",Politics and government,Internal politics,"Domestic affairs, National politics"
"Politics, law and economics",Human rights,Right to justice,"Legal rights, Right to a fair trial"
Science,Natural sciences,Plant nutrition,
Culture,Languages,Estonian,
Information and communication,Information industry,Broadcasting production,
Culture,Visual arts,Monuments,
Science,Geography and oceanography,Marine life,
Education,Teaching and training,Individualized instruction,Individualized teaching
Social and human sciences,Social policy and welfare,Hospitals,
Science,Medical sciences,Medical treatment,"Clinical treatment, Medical care"
Science,Pathology,AIDS,"Acquired Immunodeficiency Syndrome, HIV/AIDS"
Information and communication,Documentary information systems,Public libraries,
Information and communication,Information industry,Editing,Proof reading
"Politics, law and economics",Human rights,Womens rights,
Science,"Pollution, disasters and safety",Disasters,
Education,Educational sciences and environment,Educational theory,Principles of education
Science,Medical sciences,Gerontology,Geriatrics
Science,Geography and oceanography,Beaches,
Education,Educational institutions,International universities,
Science,Geography and oceanography,Valleys,
Social and human sciences,Psychology,Emotional development,
Education,Teaching and training,Basic training,
"Politics, law and economics",Politics and government,Civil servants,Public servants
Information and communication,Information sources,Graphs,
"Politics, law and economics",Equipment and facilities,Airports,
Social and human sciences,Social systems,Social exclusion,"Marginality, Marginalization, Pauperization, Proletarianization"
Science,Earth sciences,Soil mechanics,Soil compaction
Culture,Visual arts,Painting,
Science,Natural sciences,Vegetation maps,
Culture,Philosophy and ethics,Structuralism,
Education,Educational administration,Teacher supervision,
Culture,Linguistics,Multilingualism,Plurilingualism
Education,Teaching and training,Training,
"Politics, law and economics",Finance and trade,Foreign investment,"Foreign capital, FDI, Foreign direct investment"
Science,Medical sciences,Sports medicine,
"Politics, law and economics",Politics and government,Political science,
Culture,Languages,Guarani,
Culture,Languages,Tibetan,
Information and communication,Information industry,Women journalists,
"Politics, law and economics",Manufacturing and transport engineering,Solar power engineering,
Culture,History,Byzantine history,
Culture,Art,Architects,
"Politics, law and economics",Politics and government,Politicians,
"Politics, law and economics",Personnel management,Job satisfaction,Occupational satisfaction
Education,Basic and general study subjects,Safety education,
Education,Teaching and training,Heuristic method (teaching),
Social and human sciences,Family,Generation gap,
"Politics, law and economics",Labour,Part time employment,
Information and communication,Information sources,Maps,
Countries and country groupings,Americas and the Caribbean,Canada,
Culture,Visual arts,Pottery,
Culture,Leisure,Entertainment,
Information and communication,Information technology (software),Digitization,Digital technology
"Politics, law and economics",Politics and government,Revolutions,
Countries and country groupings,Americas and the Caribbean,Turks and Caicos Islands,
Education,Basic and general study subjects,Mother tongue instruction,
Culture,Linguistics,Spelling,Orthography
Social and human sciences,Population,Overpopulation,
Countries and country groupings,Asia and the Pacific,Oceania,"Melanesia, Pacific Islands, Polynesia, South Pacific"
Social and human sciences,Population,Migrants,Emigrants
"Politics, law and economics",Human rights,Rights of soldiers,
Social and human sciences,Social systems,Peasantry,
Education,Educational sciences and environment,Educational history,
Science,Pathology,Psychiatry,Medical psychology
Countries and country groupings,Europe,France,
Culture,Religion,Religious institutions,
Information and communication,Information sciences,Information/library research,
Science,Hydrology,Water conservation,
Science,Geography and oceanography,China Sea,
"Politics, law and economics",Services,International transport,
Culture,Cultural policy and planning,Cultural needs,Cultural demand
Social and human sciences,Psychology,Psychometrics,
Information and communication,Information sources,Dictionaries,
Culture,Leisure,Teleclubs,
Science,Pathology,Drug psychotherapy,
Information and communication,Communication research and policy,Communication control,Media control
"Politics, law and economics",Personnel management,Women managers,
Science,Chemical sciences,Inorganic compounds,
Information and communication,Documentary information systems,Management information systems,MIS
Science,"Pollution, disasters and safety",Nuclear explosions,
Science,Earth sciences,Geochronology,
Culture,Religion,Religious movements,Religious missions
"Politics, law and economics",Organization and management,Small enterprises,
"Politics, law and economics",Organization and management,Administrative sciences,
"Politics, law and economics",Politics and government,Political leadership,
Social and human sciences,Social problems,Human trafficking,Trafficking in persons
Culture,Philosophy and ethics,Philosophical schools,
Culture,Art,Artistic creation,
"Politics, law and economics",Politics and government,Government,
Information and communication,Information industry,Underground press,
Science,Natural resources,Mineral resources,
"Politics, law and economics",Personnel management,Self employed,Freelance workers
Countries and country groupings,Europe,Belgium,
Culture,Languages,Afrikaans,
"Politics, law and economics",Economics,Production,
Education,Technical and vocational study subjects,Agricultural training,
"Politics, law and economics",Economic and social development,Development styles,
Culture,Cultural policy and planning,Cultural administration,
"Politics, law and economics",Economics,Public ownership,"Government ownership, State ownership"
Science,Biology,Hydrobiology,
"Politics, law and economics",Economics,Green economy,"Green growth, Sustainable economy"
Social and human sciences,Social policy and welfare,Social programmes,Social action
Culture,Languages,Gujarati,
"Politics, law and economics",Economic and social development,Tied aid,Conditional aid
"Politics, law and economics",Equipment and facilities,Mechanical equipment,
Countries and country groupings,Asia and the Pacific,Wallis and Futuna,
Information and communication,Information technology (hardware),Minicomputers,
Education,Educational sciences and environment,Interest (learning),Curiosity
Science,Meteorology,Humid tropics,
"Politics, law and economics",Materials and products,Clothing,
"Politics, law and economics",International relations,Balance of power,International equilibrium
Education,Teaching and training,Verbal learning,
Culture,Languages,Punjabi,Panjabi
"Politics, law and economics",Equipment and facilities,Turbines,
Education,Educational institutions,Teacher centres,
Culture,Literature,Poetry,"Allegory, Verse"
Information and communication,Information sources,National bibliographies,
Culture,Languages,Baltic languages,
Science,Meteorology,Frost,
Social and human sciences,Human settlements and land use,Urban population,
Information and communication,Information industry,Offset printing,
"Politics, law and economics",Agriculture,Food technology,Food engineering
Education,Educational policy,Educational priority areas,
"Politics, law and economics",Human rights,Rights of the child,Childrens rights
Social and human sciences,Human settlements and land use,Rural environment,
Science,Biology,Psychophysiology,
Culture,Museums,Art museums,
"Politics, law and economics",Legal systems,Legal theory,Jurisprudence
Science,"Pollution, disasters and safety",Accidents,
Science,Biology,Biological research,
Education,Educational systems and levels,Outdoor education,
Science,Environmental sciences and engineering,Nature conservation,
Science,Biology,Microbiology,
Science,Chemical sciences,Radiochemistry,Nuclear chemistry
Culture,Art,Contemporary art,
"Politics, law and economics",Materials and products,Wood,Wood products
Countries and country groupings,Africa,Africa South of the Sahara,Subsaharan Africa
Social and human sciences,Human settlements and land use,Human settlements,"Land settlement, Population settlements, Settlement patterns"
"Politics, law and economics",Legal systems,Penal sanctions,Punishment
"Politics, law and economics","Civil, military and mining engineering",Photogrammetry,
Science,Natural resources,Animal resources,Living resources
"Politics, law and economics",Finance and trade,Monetary policy,
Information and communication,Information management,Archive development,
"Politics, law and economics",International relations,Nongovernmental organizations,"NGOs, Voluntary organizations"
Science,Biology,Physiology,
Culture,Languages,South and Southeast Asian languages,
Education,Basic and general study subjects,History education,
Information and communication,Information technology (software),Artificial intelligence,
Culture,Philosophy and ethics,Philosophy of mind,
Information and communication,Information sciences,Thesauri,"Descriptors, Monolingual thesauri, Multilingual thesauri"
Science,Environmental sciences and engineering,Energy shortages,"Energy crisis, Energy depletion"
"Politics, law and economics",Economics,Economic integration,Regional integration
"Politics, law and economics",Industry,Mergers,Corporate mergers
"Politics, law and economics",Organization and management,Operations research,
Education,Educational sciences and environment,Learning disabilities,Learning difficulties
Science,Chemical sciences,Salt,
Science,Medical sciences,Narcotic drugs,"Cannabis, Cocaine, Hallucinogenic drugs, Heroin, LSD, Opium, Psychotropic drugs"
Social and human sciences,Psychology,Achievement motivation,Performance motivation
Social and human sciences,Human settlements and land use,Rural youth,
Culture,Cultural policy and planning,Cultural statistics,
Culture,Art,African art,
"Politics, law and economics",Human rights,Right to seek asylum,
Social and human sciences,Ethnic questions,People of African descent,"Blacks, African descendants, Afro-Americans, African Americans, Afro-descendants"
Social and human sciences,Psychology,Mental development,"Intellectual development, Thought process development"
Information and communication,Information technology (software),Cable television,
"Politics, law and economics",Manufacturing and transport engineering,Engineering,
Social and human sciences,Social systems,Socialization,
"Politics, law and economics",International relations,Conflict resolution,Dispute settlement
Culture,Cultural policy and planning,Intellectual cooperation,Exchange of ideas
"Politics, law and economics",Equipment and facilities,Artificial satellites,
"Politics, law and economics",Economics,International economic relations,"International economy, World economy"
Science,Meteorology,Weather forecasting,
Culture,Philosophy and ethics,Materialism,
Social and human sciences,Social policy and welfare,Social costs,
Information and communication,Information sources,Official publications,Government publications
Science,Scientific approach,Empirical research,Empirical approach
Culture,Linguistics,Morphology (linguistics),
"Politics, law and economics",Legal systems,Rights of states,"Equality of states, Recognition rights"
Countries and country groupings,Americas and the Caribbean,Argentina,
"Politics, law and economics",Human rights,Occupied territories,
Countries and country groupings,Asia and the Pacific,New Caledonia,
Science,Natural resources,Terrestrial ecosystems,
"Politics, law and economics",Finance and trade,Economic competition,
Science,Environmental sciences and engineering,Natural heritage,World heritage (natural)
Information and communication,Documentary information systems,Digital libraries,"Electronic libraries, Virtual libraries"
Science,Physical sciences,Evaporation,
"Politics, law and economics",Politics and government,Political behaviour,"Political attitudes, Political psychology"
"Politics, law and economics",Economics,Inflation,
"Politics, law and economics",Organization and management,Planning methods,"Planning systems, PPBS"
Countries and country groupings,Europe,Ukrainian SSR,
Culture,Museums,Museum programmes,
Science,Meteorology,Climatic maps,
Countries and country groupings,Asia and the Pacific,Lao People's Democratic Republic,"Lao PDR, Laos"
Culture,Philosophy and ethics,Human nature,
Culture,Languages,Filipino,"Pilipino, Tagalog"
Culture,Performing arts,Theatrical performances,
Education,Educational population,Women teachers,Women professors
"Politics, law and economics",Organization and management,Delegation of authority,
"Politics, law and economics",Services,Transport planning,
"Politics, law and economics",Equipment and facilities,Heating equipment,
Culture,History,Archaeological dating,
Information and communication,Documentary information systems,Municipal libraries,"City libraries, Urban libraries"
Social and human sciences,Human settlements and land use,Housing design,
Culture,History,Middle Ages,
"Politics, law and economics",Agriculture,Cultivation,"Cropping systems, Cultivation systems, Farming systems"
Science,Pathology,Nervous system diseases,
Culture,Cultural policy and planning,Cultural industry,"Creative economy, Creative industries, Cultural goods, Cultural productions, Cultural services"
Culture,Visual arts,Carpets,
Culture,Art,Oceanic art,
"Politics, law and economics",Legal systems,Police,
Countries and country groupings,Geographic groupings,Maghreb,
Education,Teaching and training,Vocational training,"Job training, Occupational training"
Culture,Culture,Cultural models,
"Politics, law and economics",Finance and trade,Budgets,
"Politics, law and economics",Personnel management,Personnel,Staff
Information and communication,Information sciences,Film strips,
Countries and country groupings,Europe,Ukraine,
Information and communication,Documentary information processing,Archive records preservation,
Science,"Pollution, disasters and safety",Waste water,Sewage
Education,Educational administration,Examination boards,
Education,Educational population,Slow learners,"Educationally retarded, Low ability students, Mentally retarded students"
"Politics, law and economics",Agriculture,Agricultural genetics,
Science,Science and research management,Science budgets,
Science,Chemical sciences,Chromatographic analysis,
"Politics, law and economics",Personnel management,Occupational status,Professional status
Culture,Linguistics,Syntax,Syntactic analysis
Information and communication,Communication research and policy,Communication planning,
Social and human sciences,Family,Polygamy,
Social and human sciences,Social systems,Small groups,
Education,Basic and general study subjects,Language instruction,"Language education, Language learning, Language teaching"
Science,Physical sciences,Ultraviolet radiation,
"Politics, law and economics",Finance and trade,Currency devaluation,
Science,Medical sciences,Medical personnel,
Social and human sciences,Social systems,Modernization,
Science,Earth sciences,Geomagnetism,Terrestrial magnetism
Countries and country groupings,Europe,Austria,
Information and communication,Information industry,Publishing industry,
Culture,Performing arts,Theatrical production,
Culture,Culture,Cultural conditions,Cultural situation
Education,Educational planning,Educational input,
"Politics, law and economics","Civil, military and mining engineering",Earthquake engineering,Earthquake protection
Information and communication,Documentary information systems,Library buildings,
"Politics, law and economics",Finance and trade,Financial institutions,
Science,"Pollution, disasters and safety",Marine pollution,
Science,Medical sciences,Maternal and child health,
Culture,Languages,Russian,
Education,Educational institutions,Denominational schools,"Catholic schools, Koranic schools"
Science,Science and research management,Scientific activities,Research activities
Science,Medical sciences,Health statistics,Public health statistics
Social and human sciences,Social problems,Homicide,"Assassination, Murder"
"Politics, law and economics",Finance and trade,Domestic trade,
Culture,Culture,Biculturalism,
"Politics, law and economics",Economic and social development,Development strategies,
Science,Hydrology,Water resources,
Culture,Literature,Drama,"Comedy, Plays, Tragedy"
Countries and country groupings,Europe,Byelorussian SSR,
Information and communication,Information industry,Mass media,
Information and communication,Information technology (hardware),Analogue computers,
Culture,Philosophy and ethics,Logic,Dialectics
Social and human sciences,Social problems,Discrimination,
Information and communication,Communication research and policy,Computers and development,"Computer science and development, Informatics and development"
Culture,Performing arts,Modern dance,
"Politics, law and economics",Equipment and facilities,Bicycles,
Education,Educational evaluation,Diplomas,"Educational certificates, Leaving certificates"
Culture,Performing arts,News films,
Information and communication,Information sciences,Computer science,"Computer techniques, Computer technology, Informatics"
Countries and country groupings,Americas and the Caribbean,Saint Pierre and Miquelon,
Science,Natural sciences,Marine animals,
Countries and country groupings,Americas and the Caribbean,Paraguay,
Science,Natural sciences,Ethnobotany,
"Politics, law and economics",Organization and management,Scenarios,
"Politics, law and economics",Finance and trade,Free trade,
Science,Medical sciences,Medical ethics,Ethics of medicine
Culture,Religion,Taoism,
Social and human sciences,Human settlements and land use,Land use,
"Politics, law and economics",Industry,Industrialization,Industrial revolution
Information and communication,Documentary information systems,Information/library equipment,Library furniture
"Politics, law and economics",Materials and products,Raw materials,
Culture,Art,Industrial design,
Information and communication,Information technology (software),Expert systems,Knowledge based systems
"Politics, law and economics",Legal systems,Literary property,
"Politics, law and economics",Organization and management,Linear programming,Mathematical programming
Science,Environmental sciences and engineering,Landscape protection,
Information and communication,Information management,Information/library resources,
"Politics, law and economics",Finance and trade,Financial statements,Balance sheets
Education,Educational facilities,Language laboratories,
Education,Teaching and training,Retraining,Vocational rehabilitation
Education,Educational systems and levels,Family education,
Science,Chemical sciences,Photochemistry,
Information and communication,Information sources,Anthologies,
Science,Geography and oceanography,Oases,
Science,Environmental sciences and engineering,Energy balance,
Culture,Visual arts,Interior architecture,Interior design
