category,label
"Politics, law and economics/Services",Maritime transport
Culture/Literature,Slav literature
Culture/Leisure,Sports facilities
Culture/Religion,Religious activities
Science/Geography and oceanography,Oceanographic data
Social and human sciences/Social systems,Social control
"Politics, law and economics/Manufacturing and transport engineering",Air conditioning
Culture/Performing arts,Traditional music
Culture/Museums,Museum architecture
Countries and country groupings/Asia and the Pacific,Kyrgyzstan
Information and communication/Information sources,Glossaries
"Politics, law and economics/Organization and management",Project management
Education/Teaching and training,Learning methods
Education/Teaching and training,Story telling
Social and human sciences/Social policy and welfare,Social welfare
Science/Environmental sciences and engineering,Energy conservation
"Politics, law and economics/Economics",Economic equilibrium
Culture/Languages,Danish
Science/Scientific approach,Simulation models
Science/Medical sciences,Health
Social and human sciences/Ethnic questions,Multiethnic societies
Culture/Visual arts,Calligraphy
"Politics, law and economics/Finance and trade",Market structure
Social and human sciences/Population,Age distribution
Social and human sciences/Psychology,Imagination
Culture/Religion,Sociology of religion
Culture/Languages,Macedonian
"Politics, law and economics/Materials and products",Manganese
Information and communication/Communication research and policy,Communication organizations
Social and human sciences/Human settlements and land use,Slums
"Politics, law and economics/Personnel management",Leave
"Politics, law and economics/Materials and products",Silk
Information and communication/Information technology (software),Computer aided design
Science/Biology,Nutrients
Science/Science and research management,Scientific expenditure
"Politics, law and economics/Personnel management",Job evaluation
"Politics, law and economics/Equipment and facilities",Scientific facilities
Science/Pathology,Tropical diseases
Culture/Performing arts,Religious music
"Politics, law and economics/Equipment and facilities",Nuclear reactors
Science/Science and research management,Science statistics
Information and communication/Communication research and policy,Data protection
"Politics, law and economics/Personnel management",Factory workers
Culture/Culture,Cultural discrimination
"Politics, law and economics/Economics",Industrial productivity
Countries and country groupings/Asia and the Pacific,Saudi Arabia
Culture/History,Archaeological sociology
Information and communication/Documentary information systems,Agricultural information systems
"Politics, law and economics/International relations",International solidarity
"Politics, law and economics/Personnel management",Leadership
Culture/Performing arts,Cinema
Education/Technical and vocational study subjects,Preschool teacher education
Education/Educational planning,Educational budgets
Countries and country groupings/Geographic groupings,Horn of Africa
"Politics, law and economics/Politics and government",Political crises
"Politics, law and economics/Politics and government",Political institutions
"Politics, law and economics/Human rights",Civil and political rights
Education/Teaching and training,Group instruction
Culture/Languages,Italian
Information and communication/Information industry,Information/library personnel
Social and human sciences/Psychology,Identity
Science/Science and research management,Scientific programmes
Social and human sciences/Human settlements and land use,Housing finance
Science/Earth sciences,Iron ores
Information and communication/Information technology (hardware),Broadcasting equipment
Social and human sciences/Psychology,Attitude change
Science/Scientific approach,Systems design
Countries and country groupings/Americas and the Caribbean,Martinique
"Politics, law and economics/Manufacturing and transport engineering",Fuel technology
Information and communication/Information industry,Broadcasting
Science/Scientific approach,Experiments
Science/Earth sciences,Geological data
Social and human sciences/Social sciences,Behavioural sciences
Culture/Philosophy and ethics,Functionalism
"Politics, law and economics/Materials and products",Sodium
"Politics, law and economics/Labour",Collective bargaining
Information and communication/Information industry,Radio listeners
"Politics, law and economics/Politics and government",Internal politics
"Politics, law and economics/Human rights",Right to justice
Science/Natural sciences,Plant nutrition
Culture/Languages,Estonian
Information and communication/Information industry,Broadcasting production
Culture/Visual arts,Monuments
Science/Geography and oceanography,Marine life
Education/Teaching and training,Individualized instruction
Social and human sciences/Social policy and welfare,Hospitals
Science/Medical sciences,Medical treatment
Science/Pathology,AIDS
Information and communication/Documentary information systems,Public libraries
Information and communication/Information industry,Editing
"Politics, law and economics/Human rights",Womens rights
"Science/Pollution, disasters and safety",Disasters
Education/Educational sciences and environment,Educational theory
Science/Medical sciences,Gerontology
Science/Geography and oceanography,Beaches
Education/Educational institutions,International universities
Science/Geography and oceanography,Valleys
Social and human sciences/Psychology,Emotional development
Education/Teaching and training,Basic training
"Politics, law and economics/Politics and government",Civil servants
Information and communication/Information sources,Graphs
"Politics, law and economics/Equipment and facilities",Airports
Social and human sciences/Social systems,Social exclusion
Science/Earth sciences,Soil mechanics
Culture/Visual arts,Painting
Science/Natural sciences,Vegetation maps
Culture/Philosophy and ethics,Structuralism
Education/Educational administration,Teacher supervision
Culture/Linguistics,Multilingualism
Education/Teaching and training,Training
"Politics, law and economics/Finance and trade",Foreign investment
Science/Medical sciences,Sports medicine
"Politics, law and economics/Politics and government",Political science
Culture/Languages,Guarani
Culture/Languages,Tibetan
Information and communication/Information industry,Women journalists
"Politics, law and economics/Manufacturing and transport engineering",Solar power engineering
Culture/History,Byzantine history
Culture/Art,Architects
"Politics, law and economics/Politics and government",Politicians
"Politics, law and economics/Personnel management",Job satisfaction
Education/Basic and general study subjects,Safety education
Education/Teaching and training,Heuristic method (teaching)
Social and human sciences/Family,Generation gap
"Politics, law and economics/Labour",Part time employment
Information and communication/Information sources,Maps
Countries and country groupings/Americas and the Caribbean,Canada
Culture/Visual arts,Pottery
Culture/Leisure,Entertainment
Information and communication/Information technology (software),Digitization
"Politics, law and economics/Politics and government",Revolutions
Countries and country groupings/Americas and the Caribbean,Turks and Caicos Islands
Education/Basic and general study subjects,Mother tongue instruction
Culture/Linguistics,Spelling
Social and human sciences/Population,Overpopulation
Countries and country groupings/Asia and the Pacific,Oceania
Social and human sciences/Population,Migrants
"Politics, law and economics/Human rights",Rights of soldiers
Social and human sciences/Social systems,Peasantry
Education/Educational sciences and environment,Educational history
Science/Pathology,Psychiatry
Countries and country groupings/Europe,France
Culture/Religion,Religious institutions
Information and communication/Information sciences,Information/library research
Science/Hydrology,Water conservation
Science/Geography and oceanography,China Sea
"Politics, law and economics/Services",International transport
Culture/Cultural policy and planning,Cultural needs
Social and human sciences/Psychology,Psychometrics
Information and communication/Information sources,Dictionaries
Culture/Leisure,Teleclubs
Science/Pathology,Drug psychotherapy
Information and communication/Communication research and policy,Communication control
"Politics, law and economics/Personnel management",Women managers
Science/Chemical sciences,Inorganic compounds
Information and communication/Documentary information systems,Management information systems
"Science/Pollution, disasters and safety",Nuclear explosions
Science/Earth sciences,Geochronology
Culture/Religion,Religious movements
"Politics, law and economics/Organization and management",Small enterprises
"Politics, law and economics/Organization and management",Administrative sciences
"Politics, law and economics/Politics and government",Political leadership
Social and human sciences/Social problems,Human trafficking
Culture/Philosophy and ethics,Philosophical schools
Culture/Art,Artistic creation
"Politics, law and economics/Politics and government",Government
Information and communication/Information industry,Underground press
Science/Natural resources,Mineral resources
"Politics, law and economics/Personnel management",Self employed
Countries and country groupings/Europe,Belgium
Culture/Languages,Afrikaans
"Politics, law and economics/Economics",Production
Education/Technical and vocational study subjects,Agricultural training
"Politics, law and economics/Economic and social development",Development styles
Culture/Cultural policy and planning,Cultural administration
"Politics, law and economics/Economics",Public ownership
Science/Biology,Hydrobiology
"Politics, law and economics/Economics",Green economy
Social and human sciences/Social policy and welfare,Social programmes
Culture/Languages,Gujarati
"Politics, law and economics/Economic and social development",Tied aid
"Politics, law and economics/Equipment and facilities",Mechanical equipment
Countries and country groupings/Asia and the Pacific,Wallis and Futuna
Information and communication/Information technology (hardware),Minicomputers
Education/Educational sciences and environment,Interest (learning)
Science/Meteorology,Humid tropics
"Politics, law and economics/Materials and products",Clothing
"Politics, law and economics/International relations",Balance of power
Education/Teaching and training,Verbal learning
Culture/Languages,Punjabi
"Politics, law and economics/Equipment and facilities",Turbines
Education/Educational institutions,Teacher centres
Culture/Literature,Poetry
Information and communication/Information sources,National bibliographies
Culture/Languages,Baltic languages
Science/Meteorology,Frost
Social and human sciences/Human settlements and land use,Urban population
Information and communication/Information industry,Offset printing
"Politics, law and economics/Agriculture",Food technology
Education/Educational policy,Educational priority areas
"Politics, law and economics/Human rights",Rights of the child
Social and human sciences/Human settlements and land use,Rural environment
Science/Biology,Psychophysiology
Culture/Museums,Art museums
"Politics, law and economics/Legal systems",Legal theory
"Science/Pollution, disasters and safety",Accidents
Science/Biology,Biological research
Education/Educational systems and levels,Outdoor education
Science/Environmental sciences and engineering,Nature conservation
Science/Biology,Microbiology
Science/Chemical sciences,Radiochemistry
Culture/Art,Contemporary art
"Politics, law and economics/Materials and products",Wood
Countries and country groupings/Africa,Africa South of the Sahara
Social and human sciences/Human settlements and land use,Human settlements
"Politics, law and economics/Legal systems",Penal sanctions
"Politics, law and economics/Civil, military and mining engineering",Photogrammetry
Science/Natural resources,Animal resources
"Politics, law and economics/Finance and trade",Monetary policy
Information and communication/Information management,Archive development
"Politics, law and economics/International relations",Nongovernmental organizations
Science/Biology,Physiology
Culture/Languages,South and Southeast Asian languages
Education/Basic and general study subjects,History education
Information and communication/Information technology (software),Artificial intelligence
Culture/Philosophy and ethics,Philosophy of mind
Information and communication/Information sciences,Thesauri
Science/Environmental sciences and engineering,Energy shortages
"Politics, law and economics/Economics",Economic integration
"Politics, law and economics/Industry",Mergers
"Politics, law and economics/Organization and management",Operations research
Education/Educational sciences and environment,Learning disabilities
Science/Chemical sciences,Salt
Science/Medical sciences,Narcotic drugs
Social and human sciences/Psychology,Achievement motivation
Social and human sciences/Human settlements and land use,Rural youth
Culture/Cultural policy and planning,Cultural statistics
Culture/Art,African art
"Politics, law and economics/Human rights",Right to seek asylum
Social and human sciences/Ethnic questions,People of African descent
Social and human sciences/Psychology,Mental development
Information and communication/Information technology (software),Cable television
"Politics, law and economics/Manufacturing and transport engineering",Engineering
Social and human sciences/Social systems,Socialization
"Politics, law and economics/International relations",Conflict resolution
Culture/Cultural policy and planning,Intellectual cooperation
"Politics, law and economics/Equipment and facilities",Artificial satellites
"Politics, law and economics/Economics",International economic relations
Science/Meteorology,Weather forecasting
Culture/Philosophy and ethics,Materialism
Social and human sciences/Social policy and welfare,Social costs
Information and communication/Information sources,Official publications
Science/Scientific approach,Empirical research
Culture/Linguistics,Morphology (linguistics)
"Politics, law and economics/Legal systems",Rights of states
Countries and country groupings/Americas and the Caribbean,Argentina
"Politics, law and economics/Human rights",Occupied territories
Countries and country groupings/Asia and the Pacific,New Caledonia
Science/Natural resources,Terrestrial ecosystems
"Politics, law and economics/Finance and trade",Economic competition
Science/Environmental sciences and engineering,Natural heritage
Information and communication/Documentary information systems,Digital libraries
Science/Physical sciences,Evaporation
"Politics, law and economics/Politics and government",Political behaviour
"Politics, law and economics/Economics",Inflation
"Politics, law and economics/Organization and management",Planning methods
Countries and country groupings/Europe,Ukrainian SSR
Culture/Museums,Museum programmes
Science/Meteorology,Climatic maps
Countries and country groupings/Asia and the Pacific,Lao People's Democratic Republic
Culture/Philosophy and ethics,Human nature
Culture/Languages,Filipino
Culture/Performing arts,Theatrical performances
Education/Educational population,Women teachers
"Politics, law and economics/Organization and management",Delegation of authority
"Politics, law and economics/Services",Transport planning
"Politics, law and economics/Equipment and facilities",Heating equipment
Culture/History,Archaeological dating
Information and communication/Documentary information systems,Municipal libraries
Social and human sciences/Human settlements and land use,Housing design
Culture/History,Middle Ages
"Politics, law and economics/Agriculture",Cultivation
Science/Pathology,Nervous system diseases
Culture/Cultural policy and planning,Cultural industry
Culture/Visual arts,Carpets
Culture/Art,Oceanic art
"Politics, law and economics/Legal systems",Police
Countries and country groupings/Geographic groupings,Maghreb
Education/Teaching and training,Vocational training
Culture/Culture,Cultural models
"Politics, law and economics/Finance and trade",Budgets
"Politics, law and economics/Personnel management",Personnel
Information and communication/Information sciences,Film strips
Countries and country groupings/Europe,Ukraine
Information and communication/Documentary information processing,Archive records preservation
"Science/Pollution, disasters and safety",Waste water
Education/Educational administration,Examination boards
Education/Educational population,Slow learners
"Politics, law and economics/Agriculture",Agricultural genetics
Science/Science and research management,Science budgets
Science/Chemical sciences,Chromatographic analysis
"Politics, law and economics/Personnel management",Occupational status
Culture/Linguistics,Syntax
Information and communication/Communication research and policy,Communication planning
Social and human sciences/Family,Polygamy
Social and human sciences/Social systems,Small groups
Education/Basic and general study subjects,Language instruction
Science/Physical sciences,Ultraviolet radiation
"Politics, law and economics/Finance and trade",Currency devaluation
Science/Medical sciences,Medical personnel
Social and human sciences/Social systems,Modernization
Science/Earth sciences,Geomagnetism
Countries and country groupings/Europe,Austria
Information and communication/Information industry,Publishing industry
Culture/Performing arts,Theatrical production
Culture/Culture,Cultural conditions
Education/Educational planning,Educational input
"Politics, law and economics/Civil, military and mining engineering",Earthquake engineering
Information and communication/Documentary information systems,Library buildings
"Politics, law and economics/Finance and trade",Financial institutions
"Science/Pollution, disasters and safety",Marine pollution
Science/Medical sciences,Maternal and child health
Culture/Languages,Russian
Education/Educational institutions,Denominational schools
Science/Science and research management,Scientific activities
Science/Medical sciences,Health statistics
Social and human sciences/Social problems,Homicide
"Politics, law and economics/Finance and trade",Domestic trade
Culture/Culture,Biculturalism
"Politics, law and economics/Economic and social development",Development strategies
Science/Hydrology,Water resources
Culture/Literature,Drama
Countries and country groupings/Europe,Byelorussian SSR
Information and communication/Information industry,Mass media
Information and communication/Information technology (hardware),Analogue computers
Culture/Philosophy and ethics,Logic
Social and human sciences/Social problems,Discrimination
Information and communication/Communication research and policy,Computers and development
Culture/Performing arts,Modern dance
"Politics, law and economics/Equipment and facilities",Bicycles
Education/Educational evaluation,Diplomas
Culture/Performing arts,News films
Information and communication/Information sciences,Computer science
Countries and country groupings/Americas and the Caribbean,Saint Pierre and Miquelon
Science/Natural sciences,Marine animals
Countries and country groupings/Americas and the Caribbean,Paraguay
Science/Natural sciences,Ethnobotany
"Politics, law and economics/Organization and management",Scenarios
"Politics, law and economics/Finance and trade",Free trade
Science/Medical sciences,Medical ethics
Culture/Religion,Taoism
Social and human sciences/Human settlements and land use,Land use
"Politics, law and economics/Industry",Industrialization
Information and communication/Documentary information systems,Information/library equipment
"Politics, law and economics/Materials and products",Raw materials
Culture/Art,Industrial design
Information and communication/Information technology (software),Expert systems
"Politics, law and economics/Legal systems",Literary property
"Politics, law and economics/Organization and management",Linear programming
Science/Environmental sciences and engineering,Landscape protection
Information and communication/Information management,Information/library resources
"Politics, law and economics/Finance and trade",Financial statements
Education/Educational facilities,Language laboratories
Education/Teaching and training,Retraining
Education/Educational systems and levels,Family education
Science/Chemical sciences,Photochemistry
Information and communication/Information sources,Anthologies
Science/Geography and oceanography,Oases
Science/Environmental sciences and engineering,Energy balance
Culture/Visual arts,Interior architecture
Culture/History,Numismatics
Education/Curriculum,Teacher education curriculum
Education/Curriculum,Modular instruction
Information and communication/Communication research and policy,Nonverbal communication
Information and communication/Information technology (hardware),Microcomputers
Countries and country groupings/Europe,USSR
"Politics, law and economics/Equipment and facilities",Acoustic equipment
"Politics, law and economics/Economics",Economic doctrines
"Politics, law and economics/Civil, military and mining engineering",Irrigation
Science/Meteorology,Storms
Countries and country groupings/Linguistic groupings,French speaking countries
Social and human sciences/Human settlements and land use,Community action
Science/Meteorology,Evapotranspiration
Culture/Culture,Cultural research
Social and human sciences/Ethnic questions,Xenophobia
Countries and country groupings/Africa,Madagascar
Countries and country groupings/Ethnic and religious groupings,Islamic countries
Science/Physical sciences,Nuclear fusion
Science/Biology,Nervous systems
Countries and country groupings/Americas and the Caribbean,Belize
"Politics, law and economics/Equipment and facilities",Safety devices
Culture/Performing arts,Vocal music
Science/Environmental sciences and engineering,Environmental economics
Culture/Languages,Latvian
Education/Educational population,Educational advisers
Information and communication/Information sources,Guides to information sources
Science/Geography and oceanography,Marine geology
Culture/Religion,Religious communities
"Politics, law and economics/Agriculture",Land economics
Culture/Languages,Micronesian
Culture/History,Heraldry
Social and human sciences/Social systems,National stereotypes
Culture/Culture,Cultural elite
Culture/Literature,African literature
Education/Educational facilities,University campuses
Culture/Literature,Authors
Information and communication/Documentary information processing,Abstracting
"Politics, law and economics/Equipment and facilities",Heat pumps
"Politics, law and economics/Agriculture",Agricultural engineering
Science/Science and research management,Research projects
Science/Earth sciences,Sedimentary rocks
Culture/Languages,Polish
Science/Biology,Genetics
"Politics, law and economics/Personnel management",Personnel selection
Countries and country groupings/Geographic groupings,Mediterranean countries
Culture/History,Genealogy
"Politics, law and economics/Politics and government",Political sociology
Science/Biology,Viruses
"Science/Pollution, disasters and safety",Drought control
"Politics, law and economics/Finance and trade",Accounting
"Politics, law and economics/Legal systems",Courts
"Politics, law and economics/Manufacturing and transport engineering",Woodworking
Science/Biology,Limnology
Countries and country groupings/Europe,Malta
Science/Hydrology,River discharge
Science/Natural sciences,Entomology
"Science/Pollution, disasters and safety",Pollutants
Culture/Religion,Spiritualism
Countries and country groupings/Americas and the Caribbean,Guatemala
"Politics, law and economics/Organization and management",Rationalization
Science/Medical sciences,Forensic medicine
Countries and country groupings/Asia and the Pacific,Tokelau
Social and human sciences/Social problems,Sexual abuse
Countries and country groupings/Africa,South Africa
Culture/Languages,Indic languages
Culture/Languages,Burmese
Information and communication/Information technology (hardware),Printing equipment
Science/Earth sciences,Continental drift
"Politics, law and economics/Finance and trade",Investment
Social and human sciences/Population,Sex
"Politics, law and economics/Economics",Price policy
"Politics, law and economics/Legal systems",Sovereignty
Social and human sciences/Social systems,Aggressiveness
Education/Educational population,Postgraduates
"Politics, law and economics/Agriculture",Agrarian structure
Science/Physical sciences,Mechanics
Countries and country groupings/Africa,Tunisia
Countries and country groupings/Africa,Chad
"Politics, law and economics/Politics and government",Regionalism
Countries and country groupings/Asia and the Pacific,Samoa
"Politics, law and economics/Organization and management",Agricultural enterprises
Science/Science and research management,Academies of science
Science/Earth sciences,Volcanoes
"Politics, law and economics/Human rights",Freedom of the press
Science/Physical sciences,Cosmic radiation
"Politics, law and economics/Personnel management",Occupational mobility
Culture/Leisure,Recreational facilities
Culture/Languages,Dutch
Information and communication/Information sources,Magnetic tape recordings
"Politics, law and economics/Human rights",Cultural rights
Science/Pathology,Nutritional diseases
Education/Educational population,Paraprofessional educational personnel
"Politics, law and economics/Personnel management",Job description
Information and communication/Information industry,Television programmes
Information and communication/Documentary information processing,Cataloguing
Countries and country groupings/Asia and the Pacific,Middle East
Information and communication/Information sources,Manuscripts
"Politics, law and economics/Finance and trade",Balance of trade
Countries and country groupings/Europe,Bulgaria
"Politics, law and economics/Equipment and facilities",Domestic appliances
Culture/Religion,Buddhism
Information and communication/Information sciences,Indexing languages
Culture/History,Asian history
"Politics, law and economics/Manufacturing and transport engineering",Production engineering
Science/Pathology,Toxicology
Science/Science and research management,Technological change
"Politics, law and economics/Politics and government",Municipal government
"Politics, law and economics/Civil, military and mining engineering",Reconstruction (buildings)
Education/Educational institutions,Disadvantaged schools
Information and communication/Information management,Library associations
Social and human sciences/Psychology,Self esteem
Education/Educational institutions,Comprehensive schools
"Politics, law and economics/Manufacturing and transport engineering",Space exploration
Science/Science and research management,Scientific personnel
Education/Educational evaluation,Achievement tests
"Politics, law and economics/Politics and government",Electronic governance
Information and communication/Information technology (software),Transnational data flow
Countries and country groupings/Europe,Finland
Science/Natural sciences,Natural history
Social and human sciences/Social systems,Awards
"Politics, law and economics/Equipment and facilities",Industrial plants
Countries and country groupings/Economic groupings,E-9 countries
"Politics, law and economics/Organization and management",Management techniques
Education/Basic and general study subjects,Numeracy
Education/Educational population,Women students
Countries and country groupings/Africa,Burundi
"Politics, law and economics/Finance and trade",Profits
Science/Physical sciences,Temperature
Social and human sciences/Population,Migrant workers
Culture/Religion,Religious buildings
Culture/Cultural policy and planning,Document preservation
Education/Educational systems and levels,Nonformal education
Social and human sciences/Family,Family role
Science/Medical sciences,Pediatrics
Culture/Culture,Cultural crises
"Science/Pollution, disasters and safety",Earthquakes
Culture/History,Flags
Countries and country groupings/Asia and the Pacific,Qatar
Culture/Performing arts,Short films
Social and human sciences/Family,Widows
Social and human sciences/Social policy and welfare,Maternal welfare
Science/Science and research management,Technological gap
Education/Educational systems and levels,Adult education
"Science/Pollution, disasters and safety",Soil pollution
Culture/Visual arts,Traditional architecture
"Politics, law and economics/Labour",Workers participation
Education/Teaching and training,Work experience programmes
Education/Educational evaluation,Teacher evaluation
Science/Environmental sciences and engineering,Energy economics
Education/Educational sciences and environment,Educational philosophy
Science/Science and research management,Traditional technology
Social and human sciences/Human settlements and land use,Industrial towns
"Politics, law and economics/Organization and management",Strategic planning
Culture/Museums,Historical museums
Information and communication/Documentary information systems,National information systems
Social and human sciences/Population,Immigrants
Culture/Religion,Religious leaders
Culture/Linguistics,Dead languages
"Politics, law and economics/Organization and management",Joint ventures
"Politics, law and economics/Human rights",Right to food
"Politics, law and economics/Materials and products",Beverages
"Politics, law and economics/Services",Inland water transport
Social and human sciences/Social problems,Espionage
Science/Biology,Eyesight
"Politics, law and economics/Organization and management",Project implementation
Science/Biology,Proteins
Social and human sciences/Human settlements and land use,Urban development
Information and communication/Communication research and policy,Interpersonal communication
Culture/Languages,Faroese
Countries and country groupings/Europe,Luxembourg
"Politics, law and economics/Legal systems",Commercial law
Countries and country groupings/Africa,Nigeria
Information and communication/Communication research and policy,Public information
Culture/Visual arts,Technical drawing
"Politics, law and economics/International relations",Peacebuilding
Science/Chemical sciences,Chemical compounds
Countries and country groupings/Europe,Hungary
Information and communication/Information industry,Rural broadcasting
Education/Basic and general study subjects,Civic education
Education/Technical and vocational study subjects,Social workers training
Information and communication/Information sources,Country reports
Information and communication/Information sources,Full text databases
"Politics, law and economics/Economics",Structural adjustment
Science/Meteorology,Humid zones
Science/Meteorology,Atmosphere
Social and human sciences/Social sciences,Public opinion polls
Science/Earth sciences,Volcanology
Information and communication/Information sources,Calendars
Culture/Religion,Zoroastrianism
"Politics, law and economics/Economics",Privatization
"Politics, law and economics/Industry",Aerospace industry
Education/Teaching and training,Classroom techniques
Social and human sciences/Population,Return migration
Social and human sciences/Social systems,Resistance to change
Information and communication/Information sciences,Print media
Culture/Cultural policy and planning,Intangible cultural heritage
Countries and country groupings/Americas and the Caribbean,Barbados
Culture/Linguistics,Scientific terminology
Culture/History,Political history
Culture/Languages,Japanese
Culture/Literature,Arab literature
Social and human sciences/Population,Demography
Culture/Religion,Mysticism
"Politics, law and economics/Equipment and facilities",Medical equipment
Science/Earth sciences,Earth sciences
Science/Biology,Biology
Science/Hydrology,Hydrology
Science/Space sciences,Space sciences
Science/Medical sciences,Medical sciences
Science/Meteorology,Meteorology
Science/Natural resources,Natural resources
Science/Natural sciences,Natural sciences
Culture/Art,Ancient art
Science/Pathology,Pathology
Education/Basic and general study subjects,Cultural education
Information and communication/Communication research and policy,Censorship
Countries and country groupings/Americas and the Caribbean,Saint Kitts and Nevis
Education/Educational management,School holidays
Education/Technical and vocational study subjects,Economics education
Education/Educational evaluation,Bachelors degrees
Culture/Languages,Persian
"Politics, law and economics/Human rights",Right to health
Science/Earth sciences,Tectonics
Countries and country groupings/Europe,Estonia
"Politics, law and economics/Finance and trade",Financial audit
Science/Chemical sciences,Combustion
Culture/History,Historical methods
Countries and country groupings/Africa,Benin
Culture/History,European history
Information and communication/Information technology (software),Computer aided manufacturing
Social and human sciences/Population,Population censuses
"Politics, law and economics/Labour",Forced labour
Culture/Cultural policy and planning,Cultural activities
"Politics, law and economics/Materials and products",Leather
Social and human sciences/Psychology,Creative thinking
Information and communication/Information sciences,Political information
Science/Environmental sciences and engineering,Natural environment
Culture/Languages,Hausa
"Politics, law and economics/Economics",Economic history
"Politics, law and economics/Economics",Economic forecasting
"Politics, law and economics/Industry",Manufacturing industry
Education/Educational administration,School clubs
"Science/Pollution, disasters and safety",Disaster prevention
Information and communication/Communication research and policy,Book development
"Politics, law and economics/Industry",Textile industry
Information and communication/Information technology (software),Telecommunications networks
Culture/History,Ancient civilizations
Culture/Linguistics,Deciphering
Information and communication/Information industry,Music publishing
Information and communication/Documentary information systems,School libraries
Culture/Culture,Oceanic cultures
Information and communication/Information industry,Radio
"Politics, law and economics/Equipment and facilities",Cooling systems
"Politics, law and economics/Politics and government",Political systems
"Politics, law and economics/Materials and products",Cattle
"Politics, law and economics/Human rights",Political prisoners
Countries and country groupings/Asia and the Pacific,Guam
Culture/Religion,Churches
"Politics, law and economics/Equipment and facilities",Hydraulic equipment
"Politics, law and economics/Agriculture",Fishing industry
Education/Technical and vocational study subjects,Primary teacher education
Social and human sciences/Social systems,Industrial societies
Culture/Art,Iconography
"Politics, law and economics/Politics and government",Federalism
Culture/Culture,National identity
"Politics, law and economics/Politics and government",Neocolonialism
"Politics, law and economics/Civil, military and mining engineering",River and lake engineering
Countries and country groupings/Asia and the Pacific,Viet Nam
Science/Geography and oceanography,Islands
Science/Medical sciences,Nursing
Education/Educational policy,Diversification of education
Information and communication/Information technology (hardware),Microform equipment
Science/Hydrology,Hydrogeology
Culture/Cultural policy and planning,Cultural property presentation
Social and human sciences/Social systems,Social capital
"Politics, law and economics/Materials and products",Flowers
Education/Technical and vocational study subjects,Technical education
Science/Mathematics and statistics,Equations
"Politics, law and economics/Industry",Industrial policy
Social and human sciences/Family,One parent families
"Politics, law and economics/Manufacturing and transport engineering",Materials engineering
Culture/Religion,Judaism
Information and communication/Information industry,Broadcasting industry
"Politics, law and economics/Finance and trade",Savings
Culture/Languages,Flemish
Science/Mathematics and statistics,Mathematical logic
Culture/Museums,Museum development
"Politics, law and economics/Human rights",Right to employment
Education/Educational systems and levels,Basic education
Science/Mathematics and statistics,Statistical inference
Social and human sciences/Psychology,Child development
Social and human sciences/Family,Family environment
Education/Teaching and training,Simulation games
"Politics, law and economics/Legal systems",Criminal law
Science/Meteorology,Climatic zones
Culture/History,Oral history
Culture/Linguistics,Lexicography
"Politics, law and economics/Equipment and facilities",Hydroelectric power stations
"Politics, law and economics/Personnel management",Recruitment
Science/Biology,Biochemistry
Countries and country groupings/Europe,UK
Culture/Cultural policy and planning,Cultural resources
Countries and country groupings/Europe,Cyprus
Education/Educational population,Student teachers
Science/Scientific approach,Ethics of science
Education/Educational institutions,Training centres
Education/Basic and general study subjects,Functional literacy
Information and communication/Information technology (software),Computer applications
Culture/Literature,Poets
Science/Biology,Human physiology
Social and human sciences/Psychology,Unconscious
Information and communication/Information industry,Bookselling
Culture/Culture,Cultural life
"Politics, law and economics/Politics and government",Nonviolence
"Politics, law and economics/Agriculture",Silviculture
Education/Educational administration,Educational assistance
Social and human sciences/Social sciences,Historians
Science/Hydrology,Soil water
Science/Natural resources,Electric power
"Politics, law and economics/Industry",Chemical industry
Education/Technical and vocational study subjects,Military education
Culture/Cultural policy and planning,Time budgets
Science/Environmental sciences and engineering,Environmental monitoring
Social and human sciences/Social systems,Innovation behaviour
"Politics, law and economics/Agriculture",Tropical forests
Education/Teaching and training,Skills development
Education/Technical and vocational study subjects,Preservice teacher education
"Politics, law and economics/Manufacturing and transport engineering",Automatic control
Education/Educational evaluation,Equivalence between diplomas
Science/Chemical sciences,Chemistry
Science/Physical sciences,Thermal properties
Science/Biology,Physiological effects
Information and communication/Information industry,Social media
Culture/Languages,Romance languages
"Politics, law and economics/Manufacturing and transport engineering",Dyes technology
Education/Educational sciences and environment,Student unrest
Education/Educational planning,Student teacher ratio
Countries and country groupings/Geographic groupings,Southern Cone
Science/Hydrology,Hydrological forecasting
"Politics, law and economics/Human rights",Freedom of speech
Social and human sciences/Human settlements and land use,Rural areas
Education/Educational planning,Educational programmes
"Politics, law and economics/International relations",War devastated countries
Information and communication/Information technology (software),Telecommunications applications
Science/Science and research management,Research grants
Countries and country groupings/Political groupings,EEC countries
Science/Hydrology,Hydrological research
"Politics, law and economics/International relations",Arms control
Social and human sciences/Human settlements and land use,Landscape
"Politics, law and economics/Human rights",Freedom of religion
"Politics, law and economics/Organization and management",Management
Countries and country groupings/Africa,Malawi
Social and human sciences/Social problems,Deaf and dumb
Information and communication/Information technology (hardware),Telephone
Science/Science and research management,Research councils
Culture/Art,Performers
Social and human sciences/Human settlements and land use,Urban planning
Science/Natural resources,Marine mineral resources
Information and communication/Communication research and policy,Communication impact
Culture/Art,Arab art
Culture/History,Neolithic
Culture/Performing arts,Musical forms
"Politics, law and economics/Economics",Nationalization
"Politics, law and economics/Labour",Collective agreements
Social and human sciences/Ethnic questions,Ethnic groups
Information and communication/Communication research and policy,Television advertising
